,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
206,207,109168 (56),621761210,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",Mechanical Engineering
207,208,109179 (56),112935610,"1129 - Dhamangaon Education Society's College of Engineering and Technology,
Dhamangaon",Electrical Engg[Electronics and Power]
208,209,109185 (56),626919110,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",Civil Engineering
209,210,109196 (56),112337210,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati","Electronics and Telecommunication
Engg"
210,211,109201 (56),414624510,"4146 - KDK College of Engineering, Umrer, Nagpur",Computer Engineering
211,212,109202 (56),661837210,"6618 - Shriram Institute Of Engineering And Technology Centre, Paniv","Electronics and Telecommunication
Engg"
212,213,109206 (56),675561220,"6755 - JSPM Narhe Technical Campus, Pune.",Mechanical Engineering
213,214,109208 (56),518424510,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering
& Research, Agaskhind Tal. Sinnar",Computer Engineering
214,215,109213 (56),126535610,"1265 - Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Electrical Engg[Electronics and Power]
215,216,109215 (56),675729310,"6757 - Yashoda Technical Campus, Wadhe, Satara.",Electrical Engineering
216,217,109222 (56),346761210,"3467 - Vishwaniketan's Institute of Management Entrepreneurship and Engineering
Technology(i MEET), Khalapur Dist Raigad",Mechanical Engineering
217,218,109227 (56),418719110,"4187 - Dr. Babasaheb Ambedkar College of Engineering and Research, Wanadongri,
Nagpur",Civil Engineering
218,219,109228 (56),112529310,"1125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of
Engineering, Buldhana",Electrical Engineering
219,220,109231 (56),512524510,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik",Computer Engineering
220,221,109232 (56),416561210,"4165 - Gondia Education Society's Manoharbhai Patel Institute of Engineering and
Technology, Gondia",Mechanical Engineering
221,222,109234 (56),630361210,"6303 - Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering,
Karad",Mechanical Engineering
222,223,109236 (56),663561210,"6635 - Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Mechanical Engineering
223,224,109237 (56),213119110,"2131 - Shree Tuljabhavani College of Engineering, Tuljapur",Civil Engineering
224,225,109238 (56),213637210,"2136 - Aditya Engineering College , Beed","Electronics and Telecommunication
Engg"
225,226,109243 (56),415119110,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Civil Engineering
226,227,109244 (56),662261210,"6622 - I.S.B.& M. School of Technology, Nande Village",Mechanical Engineering
227,228,109248 (55),646629310,"6466 - Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering &
Technology, Karad",Electrical Engineering
228,229,109252 (55),675737210,"6757 - Yashoda Technical Campus, Wadhe, Satara.","Electronics and Telecommunication
Engg"
229,230,109254 (55),347761210,"3477 - Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Mechanical Engineering
230,231,109265 (55),510637210,"5106 - K. C. E. Societys College of Engineering and Information Technology, Jalgaon","Electronics and Telecommunication
Engg"
231,232,109268 (55),512424610,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",Information Technology
232,233,109275 (55),675661210,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",Mechanical Engineering
233,234,109280 (55),631561210,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,
Panhala",Mechanical Engineering
234,235,109282 (55),660919110,"6609 - Jaihind College Of Engineering,Kuran",Civil Engineering
235,236,109296 (55),251624210,"2516 - International Centre of Excellence in Engineering & Management, Aurangabad.",Computer Science and Engineering
236,237,109303 (55),346537210,"3465 - Ideal Institute of Technology, Wada, Dist.Thane","Electronics and Telecommunication
Engg"
237,238,109306 (55),418861210,"4188 - Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Mechanical Engineering
238,239,109307 (55),631829310,"6318 - Abhinav Education Society's College of Engineering and Technology (Degree),
Wadwadi",Electrical Engineering
239,240,109316 (55),118061210,"1180 - Sanmati Engineering College, Sawargaon Barde, Washim",Mechanical Engineering
240,241,109318 (55),679719110,"6797 - Dnyanshree Institute Engineering and Technology, Satara",Civil Engineering
241,242,109321 (55),213624510,"2136 - Aditya Engineering College , Beed",Computer Engineering
242,243,109325 (55),628437210,"6284 - Vidya Pratishthan's Kamalnayan Bajaj Institute of Engineering & Technology,
Baramati Dist.Pune","Electronics and Telecommunication
Engg"
243,244,109330 (55),211629310,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",Electrical Engineering
244,245,109333 (55),518319110,"5183 - Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri,
Dist.Ahmednagar",Civil Engineering
245,246,109348 (55),664919110,"6649 - TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Civil Engineering
246,247,109353 (55),113037210,"1130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of
Technology & Management Studies, Yelgaon","Electronics and Telecommunication
Engg"
247,248,109360 (55),211237210,"2112 - Shree Yash Pratishthan, Shreeyash College of Engineering and Technology,
Aurangabad","Electronics and Telecommunication
Engg"
248,249,109362 (55),540124510,"5401 - Jawahar Education Society's Institute of Technology, Management & Research,
Nashik.",Computer Engineering
249,250,109371 (54),410437610,"4104 - Kavi Kulguru Institute of Technology & Science, Ramtek",Electronics Engineering
250,251,109375 (54),410424610,"4104 - Kavi Kulguru Institute of Technology & Science, Ramtek",Information Technology
251,252,109377 (54),679729310,"6797 - Dnyanshree Institute Engineering and Technology, Satara",Electrical Engineering
252,253,109380 (54),629837210,"6298 - Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune","Electronics and Telecommunication
Engg"
253,254,109391 (54),676261210,"6762 - Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Mechanical Engineering
254,255,109392 (54),335161210,"3351 - Bharat College of Engineering, Kanhor, Badlapur(W)",Mechanical Engineering
255,256,109393 (54),413829310,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",Electrical Engineering
256,257,109395 (54),419219110,"4192 - Maitraya Education Society, Nagarjuna Institute of Engineering Technology &
Management, Nagpur",Civil Engineering
257,258,109398 (54),690119110,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Civil Engineering
258,259,109405 (54),419629310,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",Electrical Engineering
259,260,109410 (54),676719110,"6767 - Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering,
Kamshet,Pune.",Civil Engineering
260,261,109429 (54),518429310,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering
& Research, Agaskhind Tal. Sinnar",Electrical Engineering
261,262,109430 (54),630824510,"6308 - Shanti Education Society, A.G. Patil Institute of Technology, Soregaon,
Solapur(North)",Computer Engineering
262,263,109445 (54),225429310,"2254 - Vilasrao Deshmukh Foundation Group of Institutions, Latur",Electrical Engineering
263,264,109447 (54),414519110,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Civil Engineering
264,265,109462 (54),678024210,"6780 - D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Engineering
& Faculty of Management,Talsande,Kolhapur.",Computer Science and Engineering
265,266,109466 (54),416525110,"4165 - Gondia Education Society's Manoharbhai Patel Institute of Engineering and
Technology, Gondia",Computer Technology
266,267,109475 (54),464929310,"4649 - Bajaj Institute of Technology, Wardha",Electrical Engineering
267,268,109476 (54),112424210,"1124 - G.H. Raisoni college of Engineering & Management, Amravati",Computer Science and Engineering
268,269,109481 (54),213653410,"2136 - Aditya Engineering College , Beed",Food Engineering and Technology
269,270,109484 (53),211661210,"2116 - Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi ,
Nanded",Mechanical Engineering
270,271,109491 (53),631529310,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,
Panhala",Electrical Engineering
271,272,109503 (53),111761210,"1117 - Janata Shikshan Prasarak Mandal'/s Babasaheb Naik College Of Engineering,
Pusad",Mechanical Engineering
272,273,109516 (53),654529310,"6545 - Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi,
Varye,Satara.",Electrical Engineering
273,274,109517 (53),631361210,"6313 - Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva",Mechanical Engineering
274,275,109523 (53),517337210,"5173 - SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering, (Jain Gurukul),
Neminagar,Chandwad,(Nashik)","Electronics and Telecommunication
Engg"
275,276,109524 (53),512524610,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik",Information Technology
276,277,109525 (53),627724610,"6277 - Dr. J. J. Magdum Charitable Trust's Dr. J.J. Magdum College of Engineering,
Jaysingpur",Information Technology
277,278,109527 (53),664061210,"6640 - N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",Mechanical Engineering
278,279,109529 (53),620646610,"6206 - Pune District Education Association's College of Engineering, Pune",Instrumentation Engineering
279,280,109531 (53),417937010,"4179 - Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College
of Engineering, Nagpur","Electronics and Communication
Engineering"
280,281,109541 (53),617637210,"6176 - G. H.Raisoni Institute of Engineering and Technology, Wagholi, Pune","Electronics and Telecommunication
Engg"
281,282,109543 (53),111950710,"1119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering
College, Chikhali",Chemical Engineering
282,283,109546 (53),517024210,"5170 - Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology,
Bhusawal",Computer Science and Engineering
283,284,109553 (53),516861210,"5168 - T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Mechanical Engineering
284,285,109554 (53),419524210,"4195 - Vidharbha Bahu uddeshiya Shikshan Sanstha's Abha Gaikwad
ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Patil College of Engineering, Nagpur",Computer Science and Engineering
285,286,109556 (53),512461210,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",Mechanical Engineering
286,287,109557 (53),225019110,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Civil Engineering
287,288,109559 (53),414537610,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Electronics Engineering
288,289,109562 (53),418829310,"4188 - Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Electrical Engineering
289,290,109570 (53),678619110,"6786 - Dr. D. Y. Patil School of Engineering & Technology, Charholi(Bk), Via Lohgaon,
Pune",Civil Engineering
290,291,109574 (53),663224510,6632 - Navsahyadri Education Society's Group of Institutions,Computer Engineering
291,292,109577 (53),631961210,"6319 - Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal.
Indapur",Mechanical Engineering
292,293,109579 (53),225024210,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Computer Science and Engineering
293,294,109581 (53),664424510,"6644 - Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Computer Engineering
294,295,109582 (53),678737210,"6787 - Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy,
Ambi","Electronics and Telecommunication
Engg"
295,296,109584 (53),539024510,"5390 - K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering
Education & Research, Nashik.",Computer Engineering
296,297,109586 (53),675637210,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola","Electronics and Telecommunication
Engg"
297,298,109591 (53),680361210,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Mechanical Engineering
298,299,109605 (52),664037210,"6640 - N. B. Navale Sinhgad College of Engineering, Kegaon, solapur","Electronics and Telecommunication
Engg"
299,300,109607 (52),417919110,"4179 - Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College
of Engineering, Nagpur",Civil Engineering
300,301,109614 (52),213424210,"2134 - Peoples Education Society's College of Engineering, Aurangabad",Computer Science and Engineering
301,302,109619 (52),417519110,"4175 - JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",Civil Engineering
302,303,109630 (52),415129310,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Electrical Engineering
303,304,109632 (52),213561210,"2135 - Hi-Tech Institute of Technology, Aurangabad",Mechanical Engineering
304,305,109639 (52),544929310,"5449 - Shri. Vile Parle Kelawani Mandal's Institute of Technology, Dhule",Electrical Engineering
305,306,109641 (52),538219110,"5382 - Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji
Maharaj College of Engineering, Nepti",Civil Engineering
306,307,109646 (52),632624210,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Computer Science and Engineering
307,308,109656 (52),225219110,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering
and Management Studies, Parbhani",Civil Engineering
308,309,109657 (52),111735610,"1117 - Janata Shikshan Prasarak Mandal'/s Babasaheb Naik College Of Engineering,
Pusad",Electrical Engg[Electronics and Power]
309,310,109658 (52),622037210,"6220 - Shri Vithal Education and Research Institute's College of Engineering,
Pandharpur","Electronics and Telecommunication
Engg"
310,311,109660 (52),615537220,"6155 - G.H.Raisoni College of Engineering & Management, Wagholi, Pune","Electronics and Telecommunication
Engg"
311,312,109664 (52),127624510,"1276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat
Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Computer Engineering
312,313,109670 (52),675719110,"6757 - Yashoda Technical Campus, Wadhe, Satara.",Civil Engineering
313,314,109671 (52),225061210,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",Mechanical Engineering
314,315,109679 (52),517737210,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik","Electronics and Telecommunication
Engg"
315,316,109682 (52),630461210,"6304 - Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and
Research Centre, Vita,Sangli",Mechanical Engineering
316,317,109685 (52),533161210,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Mechanical Engineering
317,318,109689 (52),257361210,"2573 - Gramin College of Engineering, Vishnupuri, Nanded",Mechanical Engineering
318,319,109690 (51),630319110,"6303 - Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering,
Karad",Civil Engineering
319,320,109699 (51),614924610,"6149 - Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering,
Maval",Information Technology
320,321,109700 (51),430437210F,"4304 - Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna
Hingna Nagpur","Electronics and Telecommunication
Engg"
321,322,109702 (51),346719110,"3467 - Vishwaniketan's Institute of Management Entrepreneurship and Engineering
Technology(i MEET), Khalapur Dist Raigad",Civil Engineering
322,323,109707 (51),213824210,"2138 - Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",Computer Science and Engineering
323,324,109711 (51),419324210,"4193 - K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road
,Nagpur",Computer Science and Engineering
324,325,109714 (51),662124510,"6621 - Institute Of Knowledge-College Of Engineering, Pimpale - Jagtap",Computer Engineering
325,326,109716 (51),213461210,"2134 - Peoples Education Society's College of Engineering, Aurangabad",Mechanical Engineering
326,327,109717 (51),127661210,"1276 - Manav School of Engineering & Technology, Gut No. 1035 Nagpur Surat
Highway, NH No. 6 Tal.Vyala, Balapur, Akola, 444302",Mechanical Engineering
327,328,109719 (51),690161210,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Mechanical Engineering
328,329,109722 (51),112624210,"1126 - Shri. Dadasaheb Gawai Charitable Trust's Dr. Smt. Kamaltai Gawai Institute of
Engineering & Technology, Darapur, Amravati",Computer Science and Engineering
329,330,109724 (51),518237210,"5182 - Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of
Engineering, Anjaneri, Trimbakeshwar Road, Nashik","Electronics and Telecommunication
Engg"
330,331,109729 (51),631560210,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,
Panhala",Automobile Engineering
331,332,109731 (51),411835610,"4118 - Yashwant Rural Education Society's Bapurao Deshmukh Engineering
College,Sevagram",Electrical Engg[Electronics and Power]
332,333,109732 (51),678719110,"6787 - Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy,
Ambi",Civil Engineering
333,334,109733 (51),629829310,"6298 - Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Electrical Engineering
334,335,109736 (51),212737210,"2127 - Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.","Electronics and Telecommunication
Engg"
335,336,109737 (51),533137210,"5331 - Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik","Electronics and Telecommunication
Engg"
336,337,109741 (51),541819110,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Civil Engineering
337,338,109746 (51),679761210,"6797 - Dnyanshree Institute Engineering and Technology, Satara",Mechanical Engineering
338,339,109755 (51),614537210,"6145 - JSPM'S Jaywantrao Sawant College of Engineering,Pune","Electronics and Telecommunication
Engg"
339,340,109762 (51),413761210,"4137 - Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology,
Management & Research, Nagpur",Mechanical Engineering
340,341,109769 (51),544961210,"5449 - Shri. Vile Parle Kelawani Mandal's Institute of Technology, Dhule",Mechanical Engineering
341,342,109773 (50),517719110,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Civil Engineering
342,343,109776 (50),631329310,"6313 - Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva",Electrical Engineering
343,344,109781 (50),618537210,"6185 - Sinhagad Institute of Technology, Lonavala","Electronics and Telecommunication
Engg"
344,345,109784 (50),630861210,"6308 - Shanti Education Society, A.G. Patil Institute of Technology, Soregaon,
Solapur(North)",Mechanical Engineering
345,346,109785 (50),418824210,"4188 - Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Computer Science and Engineering
346,347,109790 (50),631919110,"6319 - Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal.
Indapur",Civil Engineering
347,348,109791 (50),676961220,"6769 - Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",Mechanical Engineering
348,349,109794 (50),414737610,"4147 - K.D.K. College of Engineering, Nagpur",Electronics Engineering
349,350,109795 (50),675824510,"6758 - Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Computer Engineering
350,351,109796 (50),213124210,"2131 - Shree Tuljabhavani College of Engineering, Tuljapur",Computer Science and Engineering
351,352,109797 (50),213629310,"2136 - Aditya Engineering College , Beed",Electrical Engineering
352,353,109811 (50),414237210,"4142 - Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology,
Nagpur","Electronics and Telecommunication
Engg"
353,354,109813 (50),112461210,"1124 - G.H. Raisoni college of Engineering & Management, Amravati",Mechanical Engineering
354,355,109814 (50),680329310,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Electrical Engineering
355,356,109815 (50),664937210,"6649 - TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune","Electronics and Telecommunication
Engg"
356,357,109825 (50),113019110,"1130 - Vision Buldhana Educational & Welfare Society's Pankaj Laddhad Institute of
Technology & Management Studies, Yelgaon",Civil Engineering
357,358,109828 (50),320661210,"3206 - S.S.P.M.'s College of Engineering, Kankavli",Mechanical Engineering
358,359,109831 (50),679529310,"6795 - Shri.Someshwar Shikshan Prasarak Mandals, Someshwar Engineering College,
Someshwar Nagar",Electrical Engineering
359,360,109833 (50),631137210,"6311 - Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology
& Research, Wagholi","Electronics and Telecommunication
Engg"
360,361,109836 (50),112361210,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Mechanical Engineering
361,362,109839 (50),321761210,"3217 - Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering &
Technology, Shahapur, Asangaon, Dist Thane",Mechanical Engineering
362,363,109840 (50),541129310,"5411 - Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Electrical Engineering
363,364,109844 (50),211229310,"2112 - Shree Yash Pratishthan, Shreeyash College of Engineering and Technology,
Aurangabad",Electrical Engineering
364,365,109847 (50),212637210,"2126 - Gramodyogik Shikshan Mandal's Marathwada Institute of Technology,
Aurangabad","Electronics and Telecommunication
Engg"
365,366,109850 (50),614937210,"6149 - Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering,
Maval","Electronics and Telecommunication
Engg"
366,367,109853 (50),257324510,"2573 - Gramin College of Engineering, Vishnupuri, Nanded",Computer Engineering
367,368,109855 (50),225237210,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering
and Management Studies, Parbhani","Electronics and Telecommunication
Engg"
368,369,109860 (50),538224510,"5382 - Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji
Maharaj College of Engineering, Nepti",Computer Engineering
369,370,109867 (49),430237010,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara","Electronics and Communication
Engineering"
370,371,109871 (49),211219110,"2112 - Shree Yash Pratishthan, Shreeyash College of Engineering and Technology,
Aurangabad",Civil Engineering
371,372,109876 (49),111924610,"1119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering
College, Chikhali",Information Technology
372,373,109877 (49),680337210,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj","Electronics and Telecommunication
Engg"
373,374,109883 (49),675961210,"6759 - Shree Ramchandra College of Engineering, Lonikand,Pune",Mechanical Engineering
374,375,109884 (49),513024510,"5130 - Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Computer Engineering
375,376,109885 (49),346524510,"3465 - Ideal Institute of Technology, Wada, Dist.Thane",Computer Engineering
376,377,109886 (49),614924510,"6149 - Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering,
Maval",Computer Engineering
377,378,109891 (49),413519110,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Civil Engineering
378,379,109892 (49),613861210,"6138 - Genba Sopanrao Moze Trust Parvatibai Genba Moze College of
Engineering,Wagholi, Pune",Mechanical Engineering
379,380,109895 (49),631061210,"6310 - Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of
Engineering &Technology, Talegaon station, Pune",Mechanical Engineering
380,381,109898 (49),414524210,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Computer Science and Engineering
381,382,109902 (49),257329310,"2573 - Gramin College of Engineering, Vishnupuri, Nanded",Electrical Engineering
382,383,109905 (49),614919110,"6149 - Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering,
Maval",Civil Engineering
383,384,109907 (49),413837610,"4138 - Jaidev Education Society, J D College of Engineering and Management, Nagpur",Electronics Engineering
384,385,109910 (49),517724510,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Computer Engineering
385,386,109911 (49),417837210,"4178 - Rajiv Gandhi College of Engineering & Research, Hingna Road, Nagpur","Electronics and Telecommunication
Engg"
386,387,109912 (49),612219110,"6122 - TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Civil Engineering
387,388,109913 (49),112324210,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",Computer Science and Engineering
388,389,109922 (49),680319110,"6803 - Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Civil Engineering
389,390,109924 (49),664961210,"6649 - TSSM's Bhivarabai Sawant College of Engineering and Research, Narhe, Pune",Mechanical Engineering
390,391,109925 (49),211261210,"2112 - Shree Yash Pratishthan, Shreeyash College of Engineering and Technology,
Aurangabad",Mechanical Engineering
391,392,109929 (49),251661210,"2516 - International Centre of Excellence in Engineering & Management, Aurangabad.",Mechanical Engineering
392,393,109930 (49),517961210,"5179 - Vishwabharati Academy's College of Engineering, Ahmednagar",Mechanical Engineering
393,394,109940 (48),415161210,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",Mechanical Engineering
394,395,109941 (48),676219110,"6762 - Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Civil Engineering
395,396,109942 (48),632619110,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur",Civil Engineering
396,397,109944 (48),510761210,"5107 - Shri Gulabrao Deokar College of Engineering, Jalgaon",Mechanical Engineering
397,398,109946 (48),322261210,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege
Betegaon, Boisar",Mechanical Engineering
398,399,109949 (48),418661210,"4186 - Datta Meghe Institute of Medical Science's Datta Meghe Institute of
Engineering & Technology & Research, Savangi (Meghe)",Mechanical Engineering
399,400,109950 (48),628819110,"6288 - Bharati Vidyapeeth's College of Engineering, Kolhapur",Civil Engineering
400,401,109953 (48),413961210,"4139 - Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Mechanical Engineering
401,402,109954 (48),510629310,"5106 - K. C. E. Societys College of Engineering and Information Technology, Jalgaon",Electrical Engineering
402,403,109956 (48),416537610,"4165 - Gondia Education Society's Manoharbhai Patel Institute of Engineering and
Technology, Gondia",Electronics Engineering
403,404,109960 (48),417229310,"4172 - Anjuman College of Engineering & Technology, Nagpur",Electrical Engineering
404,405,109962 (48),632637210,"6326 - Shri Pandurang Pratishtan, Karmayogi Engineering College, Shelve, Pandharpur","Electronics and Telecommunication
Engg"
405,406,109965 (48),530324510,"5303 - Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions
(Integrated Campus)-Parikrama, Kashti Shrigondha,",Computer Engineering
406,407,109970 (48),111961210,"1119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering
College, Chikhali",Mechanical Engineering
407,408,109971 (48),512424510,"5124 - Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch,
Babulgaon",Computer Engineering
408,409,109972 (48),321837210,"3218 - Aldel Education Trust's St. John College of Engineering & Management, Vevoor,
Palghar","Electronics and Telecommunication
Engg"
409,410,109975 (48),544924510,"5449 - Shri. Vile Parle Kelawani Mandal's Institute of Technology, Dhule",Computer Engineering
410,411,109978 (48),679424610,"6794 - Anantrao Pawar College of Engineering & Research, Pune",Information Technology
411,412,109979 (48),632419110,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Civil Engineering
412,413,109982 (48),646661210,"6466 - Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering &
Technology, Karad",Mechanical Engineering
413,414,109983 (48),321637210,"3216 - Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri","Electronics and Telecommunication
Engg"
414,415,109984 (48),314646610,"3146 - Jawahar Education Society's Annasaheb Chudaman Patil College of
Engineering,Kharghar",Instrumentation Engineering
