,Sr.No.,Cut Off Merit (Score),Choice Code,Institute,Course Name
51,52,107964 (67),118224210,"1182 - Padmashri Dr. V.B. Kolte College of Engineering, Malkapur, Buldhana",Computer Science and Engineering
52,53,107968 (67),541829310,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Electrical Engineering
53,54,107971 (67),679437210,"6794 - Anantrao Pawar College of Engineering & Research, Pune","Electronics and Telecommunication
Engg"
54,55,108029 (67),676229310,"6762 - Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",Electrical Engineering
55,56,108030 (67),418024210F,"4180 - Shrimati Rajashri Mulak College of Engineering for Womens, Nagpur",Computer Science and Engineering
56,57,108031 (67),211337210,"2113 - G. S. Mandal's Maharashtra Institute of Technology, Aurangabad","Electronics and Telecommunication
Engg"
57,58,108054 (66),675629310,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",Electrical Engineering
58,59,108057 (66),626819120,"6268 - Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Civil Engineering
59,60,108059 (66),675937210,"6759 - Shree Ramchandra College of Engineering, Lonikand,Pune","Electronics and Telecommunication
Engg"
60,61,108066 (66),630337210,"6303 - Dr. Ashok Gujar Technical Institute's Dr. Daulatrao Aher College of Engineering,
Karad","Electronics and Telecommunication
Engg"
61,62,108099 (66),630819110,"6308 - Shanti Education Society, A.G. Patil Institute of Technology, Soregaon,
Solapur(North)",Civil Engineering
62,63,108129 (66),631037210,"6310 - Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of
Engineering &Technology, Talegaon station, Pune","Electronics and Telecommunication
Engg"
63,64,108131 (66),675624210,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",Computer Science and Engineering
64,65,108136 (65),416325110,4163 - Rajiv Gandhi College of Engineering Research & Technology Chandrapur,Computer Technology
65,66,108159 (65),539929310,"5399 - Sanghavi College of Engineering, Varvandi, Nashik.",Electrical Engineering
66,67,108174 (65),630419110,"6304 - Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and
Research Centre, Vita,Sangli",Civil Engineering
67,68,108194 (65),539619110,"5396 - College of Engineering and Technology ,North Maharashtra Knowledge City,
Jalgaon",Civil Engineering
68,69,108202 (65),631519110,"6315 - Holy-Wood Academy's Sanjeevan Engineering and Technology Institute,
Panhala",Civil Engineering
69,70,108205 (65),662161210,"6621 - Institute Of Knowledge-College Of Engineering, Pimpale - Jagtap",Mechanical Engineering
70,71,108238 (64),680861210,"6808 - Keystone School of Engineering, Pune",Mechanical Engineering
71,72,108257 (64),419061210,"4190 - M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of
Engineering & Technology, Badravati",Mechanical Engineering
72,73,108260 (64),518324510,"5183 - Shri Chhatrapati Shivaji College of Engineering, (Rahuri Factory), Tal.Rahuri,
Dist.Ahmednagar",Computer Engineering
73,74,108266 (64),510337610,"5103 - Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College
of Engineering,Dhule",Electronics Engineering
74,75,108268 (64),417737010,"4177 - Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred
Road,Nagpur","Electronics and Communication
Engineering"
75,76,108270 (64),513029310,"5130 - Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Electrical Engineering
76,77,108276 (64),112137210,"1121 - Shri Hanuman Vyayam Prasarak Mandals College of Engineering & Technology,
Amravati","Electronics and Telecommunication
Engg"
77,78,108280 (64),417929310,"4179 - Lokmanya Tilak Jankalyan Shiksan Sanstha, Priyadarshini Indira Gandhi College
of Engineering, Nagpur",Electrical Engineering
78,79,108296 (64),690124510,"6901 - MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Computer Engineering
79,80,108298 (64),518137210,"5181 - Gokhale Education Society's, R.H. Sapat College of Engineering, Management
Studies and Research, Nashik","Electronics and Telecommunication
Engg"
80,81,108299 (64),212837610,"2128 - Maharashtra College of Engineering, Nilanga",Electronics Engineering
81,82,108303 (64),676724510,"6767 - Suman Ramesh Tulsiani Technical Campus: Faculty of Engineering,
Kamshet,Pune.",Computer Engineering
82,83,108307 (64),513937210,"5139 - Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.","Electronics and Telecommunication
Engg"
83,84,108316 (63),675919110,"6759 - Shree Ramchandra College of Engineering, Lonikand,Pune",Civil Engineering
84,85,108333 (63),662924210,"6629 - Dhananjay Mahadik Group of Institutions, Kagal, Kolhapur",Computer Science and Engineering
85,86,108335 (63),631319110,"6313 - Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva",Civil Engineering
86,87,108344 (63),517924510,"5179 - Vishwabharati Academy's College of Engineering, Ahmednagar",Computer Engineering
87,88,108347 (63),321919110,"3219 - Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering
and Technology, Sapgaon, Tal. Shahapur",Civil Engineering
88,89,108359 (63),335124510,"3351 - Bharat College of Engineering, Kanhor, Badlapur(W)",Computer Engineering
89,90,108368 (63),417224210,"4172 - Anjuman College of Engineering & Technology, Nagpur",Computer Science and Engineering
90,91,108374 (63),540129310,"5401 - Jawahar Education Society's Institute of Technology, Management & Research,
Nashik.",Electrical Engineering
91,92,108403 (62),430561210,"4305 - G.H.Raisoni Academy of Engineering & Technology, Nagpur",Mechanical Engineering
92,93,108404 (62),621729310,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",Electrical Engineering
93,94,108406 (62),621724210,"6217 - Shri. Balasaheb Mane Prasarak Mandals, Ashokrao Mane Group of Institutions,
Kolhapur",Computer Science and Engineering
94,95,108413 (62),630437210,"6304 - Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and
Research Centre, Vita,Sangli","Electronics and Telecommunication
Engg"
95,96,108417 (62),678119110,"6781 - Bhagwant Institute of Technology, Barshi",Civil Engineering
96,97,108424 (62),416524610,"4165 - Gondia Education Society's Manoharbhai Patel Institute of Engineering and
Technology, Gondia",Information Technology
97,98,108426 (62),612261210,"6122 - TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune",Mechanical Engineering
98,99,108433 (62),538237210,"5382 - Ahmednagar Jilha Maratha Vidya Prasarak Samajache, Shri. Chhatrapati Shivaji
Maharaj College of Engineering, Nepti","Electronics and Telecommunication
Engg"
99,100,108441 (62),419329310,"4193 - K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road
,Nagpur",Electrical Engineering
100,101,108446 (62),629324210,"6293 - Kai Amdar Bramhadevdada Mane Shikshan & Samajik Prathistan's
Bramhadevdada Mane Institute of Technology, Solapur",Computer Science and Engineering
101,102,108449 (62),622319110,"6223 - Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of
Engineering & Technology, Solapur",Civil Engineering
102,103,108464 (62),515137210,"5151 - MET Bhujbal Knowledge City MET League's Engineering College, Adgaon,
Nashik.","Electronics and Telecommunication
Engg"
103,104,108471 (62),212819110,"2128 - Maharashtra College of Engineering, Nilanga",Civil Engineering
104,105,108474 (62),213429810,"2134 - Peoples Education Society's College of Engineering, Aurangabad",Electrical Engg [Electrical and Power]
105,106,108482 (62),662561210,"6625 - Universal College of Engineering & Research, Sasewadi",Mechanical Engineering
106,107,108493 (62),213024210,"2130 - Terna Public Charitable Trust's College of Engineering, Osmanabad",Computer Science and Engineering
107,108,108496 (62),213524210,"2135 - Hi-Tech Institute of Technology, Aurangabad",Computer Science and Engineering
108,109,108511 (61),614961210,"6149 - Choudhary Attar Singh Yadav Memorial Trust,Siddhant College of Engineering,
Maval",Mechanical Engineering
109,110,108550 (61),213519110,"2135 - Hi-Tech Institute of Technology, Aurangabad",Civil Engineering
110,111,108554 (61),412335610,"4123 - Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of
Engineering, Nagpur",Electrical Engg[Electronics and Power]
111,112,108559 (61),213337210,"2133 - Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai","Electronics and Telecommunication
Engg"
112,113,108585 (61),512561210,"5125 - Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology,
Chincholi Dist. Nashik",Mechanical Engineering
113,114,108586 (61),414229310,"4142 - Ankush Shikshan Sanstha's G. H. Raisoni Institute of Engineering & Technology,
Nagpur",Electrical Engineering
114,115,108616 (61),510760210,"5107 - Shri Gulabrao Deokar College of Engineering, Jalgaon",Automobile Engineering
115,116,108617 (61),414661210,"4146 - KDK College of Engineering, Umrer, Nagpur",Mechanical Engineering
116,117,108620 (61),632361210,"6323 - D. Y. Patil College of Engineering, Ambi, Talegaon, Maval",Mechanical Engineering
117,118,108624 (60),675861210,"6758 - Sahyadri Valley College of Engineering & Technology, Rajuri, Pune.",Mechanical Engineering
118,119,108635 (60),111937210,"1119 - Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering
College, Chikhali","Electronics and Telecommunication
Engg"
119,120,108636 (60),678760210,"6787 - Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Engineering Academy,
Ambi",Automobile Engineering
120,121,108638 (60),321937210,"3219 - Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering
and Technology, Sapgaon, Tal. Shahapur","Electronics and Telecommunication
Engg"
121,122,108655 (60),413561210,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Mechanical Engineering
