32,33,115028 (43),414429310.0,"4144 - Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",,Electrical Engineering,JEE,MH to AI,GNT3H
33,34,115056 (41),112561210.0,"1125 - Dwarka Bahu Uddeshiya Gramin Vikas Foundation, Rajarshri Shahu College of
Engineering, Buldhana",,Mechanical Engineering,JEE,MH to AI,GNT1H
34,35,115075 (41),518424510.0,"5184 - Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering
& Research, Agaskhind Tal. Sinnar",,Computer Engineering,JEE,MH to AI,GOPENO
35,36,115090 (40),413361220.0,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",,Mechanical Engineering,JEE,MH to AI,GNT1H
36,37,115111 (40),213619110.0,"2136 - Aditya Engineering College , Beed",,Civil Engineering,JEE,MH to AI,LVJH
37,38,115118 (40),626929310.0,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli",,Electrical Engineering,JEE,AI to AI,AI
38,39,115170 (38),419629310.0,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",,Electrical Engineering,JEE,MH to AI,GNT1H
39,40,115183 (38),413319110.0,"4133 - Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering,
Nagpur",,Civil Engineering,JEE,MH to AI,GNT1H
40,41,115210 (37),618537210.0,"6185 - Sinhagad Institute of Technology, Lonavala",,"Electronics and Telecommunication
Engg",JEE,MH to AI,GSCH
41,42,115212 (36),675661210.0,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",,Mechanical Engineering,JEE,MH to AI,GNT2H
42,43,115231 (36),112319110.0,"1123 - Dr.Rajendra Gode Institute of Technology & Research, Amravati",,Civil Engineering,JEE,MH to AI,GSTH
43,44,115239 (36),415124210.0,"4151 - Vidarbha Bahu-Uddeshiya Shikshan Sanstha's Tulshiramji Gaikwad Patil College
of Engineering & Technology, Nagpur",,Computer Science and Engineering,JEE,MH to AI,GOBCO
44,45,115283 (35),632461210.0,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",,Mechanical Engineering,JEE,MH to AI,GNT1H
45,46,115293 (34),112424210.0,"1124 - G.H. Raisoni college of Engineering & Management, Amravati",,Computer Science and Engineering,JEE,MH to AI,GOPENO
46,47,115299 (34),675961210.0,"6759 - Shree Ramchandra College of Engineering, Lonikand,Pune",,Mechanical Engineering,JEE,MH to AI,GOBCH
47,48,115326 (33),419619110.0,"4196 - Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",,Civil Engineering,JEE,MH to AI,LSCH
48,49,115371 (32),225037010.0,"2250 - Aurangabad College of Engineering, Naygaon Savangi, Aurangabad",,"Electronics and Communication
Engineering",JEE,MH to AI,GNT3H
49,50,115392 (31),675619110.0,"6756 - Fabtech Technical Campus College of Engineering and Research, Sangola",,Civil Engineering,JEE,MH to AI,GOBCH
50,51,115398 (31),678161210.0,"6781 - Bhagwant Institute of Technology, Barshi",,Mechanical Engineering,JEE,MH to AI,GNT1H
